module_category,component_category,year,month
M1,P02,2010,1
M1,P02,2010,2
M1,P02,2010,3
M1,P02,2010,4
M1,P02,2010,5
M1,P02,2010,6
M1,P02,2010,7
M1,P02,2010,8
M1,P02,2010,9
M1,P02,2010,10
M1,P02,2010,11
M1,P02,2010,12
M1,P02,2011,1
M1,P02,2011,2
M1,P02,2011,3
M1,P02,2011,4
M1,P02,2011,5
M1,P02,2011,6
M1,P02,2011,7
M1,P04,2010,1
M1,P04,2010,2
M1,P04,2010,3
M1,P04,2010,4
M1,P04,2010,5
M1,P04,2010,6
M1,P04,2010,7
M1,P04,2010,8
M1,P04,2010,9
M1,P04,2010,10
M1,P04,2010,11
M1,P04,2010,12
M1,P04,2011,1
M1,P04,2011,2
M1,P04,2011,3
M1,P04,2011,4
M1,P04,2011,5
M1,P04,2011,6
M1,P04,2011,7
M1,P05,2010,1
M1,P05,2010,2
M1,P05,2010,3
M1,P05,2010,4
M1,P05,2010,5
M1,P05,2010,6
M1,P05,2010,7
M1,P05,2010,8
M1,P05,2010,9
M1,P05,2010,10
M1,P05,2010,11
M1,P05,2010,12
M1,P05,2011,1
M1,P05,2011,2
M1,P05,2011,3
M1,P05,2011,4
M1,P05,2011,5
M1,P05,2011,6
M1,P05,2011,7
M1,P06,2010,1
M1,P06,2010,2
M1,P06,2010,3
M1,P06,2010,4
M1,P06,2010,5
M1,P06,2010,6
M1,P06,2010,7
M1,P06,2010,8
M1,P06,2010,9
M1,P06,2010,10
M1,P06,2010,11
M1,P06,2010,12
M1,P06,2011,1
M1,P06,2011,2
M1,P06,2011,3
M1,P06,2011,4
M1,P06,2011,5
M1,P06,2011,6
M1,P06,2011,7
M1,P09,2010,1
M1,P09,2010,2
M1,P09,2010,3
M1,P09,2010,4
M1,P09,2010,5
M1,P09,2010,6
M1,P09,2010,7
M1,P09,2010,8
M1,P09,2010,9
M1,P09,2010,10
M1,P09,2010,11
M1,P09,2010,12
M1,P09,2011,1
M1,P09,2011,2
M1,P09,2011,3
M1,P09,2011,4
M1,P09,2011,5
M1,P09,2011,6
M1,P09,2011,7
M1,P10,2010,1
M1,P10,2010,2
M1,P10,2010,3
M1,P10,2010,4
M1,P10,2010,5
M1,P10,2010,6
M1,P10,2010,7
M1,P10,2010,8
M1,P10,2010,9
M1,P10,2010,10
M1,P10,2010,11
M1,P10,2010,12
M1,P10,2011,1
M1,P10,2011,2
M1,P10,2011,3
M1,P10,2011,4
M1,P10,2011,5
M1,P10,2011,6
M1,P10,2011,7
M1,P11,2010,1
M1,P11,2010,2
M1,P11,2010,3
M1,P11,2010,4
M1,P11,2010,5
M1,P11,2010,6
M1,P11,2010,7
M1,P11,2010,8
M1,P11,2010,9
M1,P11,2010,10
M1,P11,2010,11
M1,P11,2010,12
M1,P11,2011,1
M1,P11,2011,2
M1,P11,2011,3
M1,P11,2011,4
M1,P11,2011,5
M1,P11,2011,6
M1,P11,2011,7
M1,P12,2010,1
M1,P12,2010,2
M1,P12,2010,3
M1,P12,2010,4
M1,P12,2010,5
M1,P12,2010,6
M1,P12,2010,7
M1,P12,2010,8
M1,P12,2010,9
M1,P12,2010,10
M1,P12,2010,11
M1,P12,2010,12
M1,P12,2011,1
M1,P12,2011,2
M1,P12,2011,3
M1,P12,2011,4
M1,P12,2011,5
M1,P12,2011,6
M1,P12,2011,7
M1,P13,2010,1
M1,P13,2010,2
M1,P13,2010,3
