module_category,component_category,year/month,number_sale
M4,P27,2005/1,0
M4,P27,2005/5,1042
M4,P27,2005/9,1677
M4,P27,2005/10,918
M4,P27,2005/11,0
M0,P27,2006/8,210
M0,P27,2006/11,0
M0,P27,2007/4,0
M8,P27,2006/2,0
M8,P27,2006/11,2268
M8,P27,2006/12,0
M4,P27,2005/11,311
M4,P27,2006/1,420
M4,P27,2006/4,0
M5,P27,2005/12,2154
M5,P27,2006/1,491
M5,P27,2007/1,0
M5,P27,2007/2,0
M7,P27,2005/12,135
M7,P27,2006/8,0
M7,P27,2006/8,0
M7,P27,2006/12,0
M7,P27,2007/2,0
M1,P27,2006/11,0
M9,P27,2005/10,44
M9,P27,2006/1,0
M3,P27,2006/11,924
M3,P27,2006/11,21
M3,P27,2006/12,1512
M3,P27,2007/2,0
M3,P27,2007/3,0
M3,P27,2007/6,0
M6,P27,2007/8,1596
M2,P21,2007/5,0
M4,P21,2005/4,0
M0,P21,2007/1,0
M8,P21,2005/9,0
M8,P21,2005/9,444
M8,P21,2006/7,-16
M8,P21,2006/12,-1
M4,P21,2006/1,8940
M4,P21,2006/1,0
M4,P21,2006/1,0
M4,P21,2006/2,0
M4,P21,2006/5,-1
M7,P21,2006/1,0
M7,P21,2006/9,0
M9,P21,2006/7,0
M9,P21,2006/8,0
M9,P21,2006/9,0
M3,P21,2006/11,11592
M3,P21,2007/1,0
M3,P21,2007/6,0
M8,P06,2006/12,0
M2,P06,2008/1,3008
M4,P06,2005/5,0
M4,P06,2005/6,252
M0,P06,2007/1,0
M8,P06,2006/12,0
M8,P06,2006/12,0
M4,P06,2006/4,0
M4,P06,2006/5,0
M5,P06,2006/5,1680
M5,P06,2006/11,0
M5,P06,2007/1,0
M5,P06,2007/1,0
M5,P06,2007/1,0
M5,P06,2007/2,0
M7,P06,2005/10,0
M7,P06,2006/4,5623
M7,P06,2006/11,523
M9,P06,2005/9,68
M9,P06,2006/1,620
M3,P06,2007/2,168
M3,P06,2007/3,0
M3,P06,2007/3,0
M3,P06,2007/5,0
M3,P06,2007/7,-1
M3,P06,2007/9,0
M6,P06,2007/10,756
M2,P23,2007/3,0
M4,P23,2005/1,0
M4,P23,2005/4,202
M4,P23,2005/5,34
M4,P23,2005/8,926
M0,P23,2006/2,0
M0,P23,2006/8,0
M0,P23,2007/3,0
M8,P23,2006/3,1731
M8,P23,2006/3,168
M8,P23,2006/6,0
M8,P23,2006/10,0
M5,P23,2006/9,0
M7,P23,2006/2,0
M7,P23,2006/7,0
M7,P23,2006/8,336
M7,P23,2006/9,0
M7,P23,2007/1,0
M9,P23,2006/3,0
M9,P23,2006/10,0
M6,P23,2007/8,21
M4,P31,2005/3,0
M0,P31,2006/2,0
M0,P31,2006/3,0
M8,P31,2005/10,2193
M8,P31,2006/4,0
M8,P31,2006/8,0
M5,P31,2005/12,303
M5,P31,2006/2,0
M5,P31,2006/11,0
M7,P31,2006/11,0
M1,P31,2006/2,0
M1,P31,2006/2,0
M1,P31,2006/5,0
M1,P31,2006/7,0
M9,P31,2006/2,0
M9,P31,2006/11,0
M9,P31,2006/11,0
M3,P31,2007/1,293
M0,P09,2006/7,0
M0,P09,2006/11,0
M0,P09,2006/12,34
M0,P09,2007/1,0
M8,P09,2005/9,0
M8,P09,2005/11,0
M8,P09,2005/11,0
M8,P09,2006/8,0
M5,P09,2006/3,51
M5,P09,2006/4,0
M5,P09,2006/8,0
M5,P09,2006/8,0
M5,P09,2006/10,0
M5,P09,2007/1,0
M1,P09,2006/3,34
M1,P09,2006/4,0
M9,P09,2006/3,-1
M9,P09,2006/7,0
M9,P09,2006/8,0
M3,P09,2007/3,12194
M3,P09,2007/6,-3
M3,P09,2007/9,0
M0,P10,2007/4,0
M5,P10,2006/2,269
M5,P10,2007/2,0
M7,P10,2005/12,252
M7,P10,2006/9,0
M1,P10,2006/6,1724
M9,P10,2005/9,368
M9,P10,2005/12,0
M9,P10,2006/5,66
M3,P10,2007/4,0
M3,P10,2007/7,0
M3,P10,2007/8,0
M4,P29,2005/1,0
M4,P29,2005/3,1126
M4,P29,2005/6,588
M0,P29,2006/3,0
M0,P29,2006/5,0
M8,P29,2005/10,21
M8,P29,2005/12,81
M8,P29,2006/2,0
M8,P29,2006/11,0
M4,P29,2006/2,121
M4,P29,2006/5,0
M5,P29,2005/12,0
M5,P29,2006/7,0
M7,P29,2005/10,0
M7,P29,2006/3,0
M7,P29,2006/11,336
M7,P29,2006/11,0
M1,P29,2006/8,0
M1,P29,2006/10,1388
M9,P29,2005/7,0
M9,P29,2006/4,7680
M3,P29,2006/11,924
M3,P29,2006/12,0
M3,P29,2007/4,394
M6,P29,2007/7,0
M6,P29,2007/9,135
M4,P25,2005/7,0
M0,P25,2006/6,219
M0,P25,2007/3,0
M8,P25,2006/8,8733
M8,P25,2006/9,0
M8,P25,2006/10,0
M4,P25,2006/4,0
M5,P25,2005/10,0
M5,P25,2006/6,0
M5,P25,2006/6,0
M7,P25,2005/10,0
M7,P25,2006/4,0
M7,P25,2006/8,336
M7,P25,2006/10,0
M7,P25,2007/2,0
M9,P25,2005/10,0
M9,P25,2005/11,68
M9,P25,2006/6,0
M9,P25,2006/10,0
M3,P25,2006/10,3757
M3,P25,2006/11,252
M3,P25,2007/2,446
M4,P13,2005/1,0
M0,P13,2006/3,639
M0,P13,2007/1,0
M8,P13,2005/9,21
M8,P13,2005/10,0
M8,P13,2005/10,0
M8,P13,2005/11,6788
M8,P13,2006/1,1109
M8,P13,2006/3,185
M8,P13,2006/5,-1
M4,P13,2006/5,0
M5,P13,2005/12,1435
M5,P13,2006/6,98
M5,P13,2006/11,0
M5,P13,2006/12,0
