year,month,number_repair
2005,1,0.0
2005,2,1.0
2005,3,7.0
2005,4,6.0
2005,5,21.0
2005,6,24.0
2005,7,41.0
2005,8,51.0
2005,9,32.0
2005,10,62.0
2005,11,69.0
2005,12,59.0
2006,1,87.0
2006,2,79.0
2006,3,74.0
2006,4,111.0
2006,5,120.0
2006,6,156.0
2006,7,178.0
2006,8,196.0
2006,9,194.0
2006,10,226.0
2006,11,224.0
2006,12,207.0
2007,1,238.0
2007,2,269.0
2007,3,279.0
2007,4,208.0
2007,5,170.0
2007,6,173.0
2007,7,155.0
2007,8,109.0
2007,9,132.0
2007,10,128.0
2007,11,99.0
2007,12,87.0
2008,1,72.0
2008,2,41.0
2008,3,46.0
2008,4,18.0
2008,5,12.0
2008,6,5.0
2008,7,7.0
2008,8,3.0
2008,9,8.0
2008,10,5.0
2008,11,2.0
2008,12,5.0
2009,1,0.0
2009,2,2.0
2009,3,1.0
2009,4,0.0
2009,5,2.0
2009,6,1.0
2009,7,1.0
2009,8,1.0
2009,9,0.0
2009,10,0.0
2009,11,0.0
2009,12,0.0
