module_category,component_category,number_repair
M2,P24,38513
M2,P16,30027
M6,P24,21045
M2,P20,20616
M3,P12,20453
M2,P06,20056
M6,P16,17403
M4,P06,13038
M6,P20,12951
M8,P06,12288
M6,P06,11833
M8,P12,11772
M7,P26,10670
M9,P06,10586
M4,P12,9577
M7,P06,9051
M7,P04,8223
M3,P06,8109
M5,P06,7310
M9,P12,6962
M8,P20,6515
M2,P28,6358
M4,P20,6007
M1,P06,5248
M7,P12,4897
M9,P20,4878
M3,P20,4776
M1,P20,4590
M4,P24,4504
M7,P20,4450
M5,P20,4375
M7,P13,4367
M8,P24,4286
M4,P16,3926
M9,P24,3888
M2,P09,3842
M3,P09,3748
M3,P26,3640
M8,P09,3614
M2,P15,3390
M1,P12,3188
M2,P12,3175
M3,P21,3153
M4,P09,3140
M7,P24,3120
M8,P16,2924
M7,P28,2887
M8,P30,2732
M6,P28,2705
M5,P16,2494
M4,P21,2474
M1,P28,2363
M4,P28,2307
M9,P15,2290
M1,P30,2289
M3,P24,2276
M9,P09,2251
M8,P26,2204
M2,P21,2175
M9,P16,2164
M2,P25,2101
M5,P12,2039
M3,P16,2032
M8,P15,1993
M3,P15,1948
M5,P24,1944
M6,P12,1926
M5,P21,1835
M3,P28,1820
M6,P09,1779
M4,P30,1758
M8,P28,1742
M4,P15,1684
M7,P16,1678
M1,P24,1670
M4,P04,1622
M1,P16,1525
M2,P30,1509
M2,P22,1491
M6,P15,1453
M7,P15,1444
M9,P28,1420
M2,P05,1393
M8,P21,1368
M6,P21,1363
M8,P22,1288
M9,P26,1283
M9,P30,1237
M4,P26,1223
M5,P28,1209
M8,P04,1204
M4,P22,1199
M5,P15,1173
M3,P04,1164
M3,P30,1164
M7,P22,1159
M8,P02,1112
M4,P13,1034
M1,P15,1023
M2,P17,1010
M4,P02,1004
M6,P30,1000
M9,P04,996
M3,P05,960
M5,P30,920
M6,P17,900
M9,P22,871
M9,P21,867
M8,P13,819
M6,P22,791
M1,P21,764
M9,P19,732
M5,P09,708
M6,P25,708
M3,P17,640
M3,P13,627
M8,P25,614
M9,P02,611
M7,P30,579
M9,P13,579
M3,P22,571
M3,P02,554
M4,P05,546
M4,P25,522
M7,P09,518
M8,P17,495
M5,P13,447
M4,P17,446
M1,P13,439
M7,P21,428
M6,P26,399
M8,P05,392
M4,P11,386
M2,P13,371
M7,P31,368
M2,P19,357
M1,P09,355
M5,P17,337
M2,P02,334
M1,P11,332
M6,P13,330
M7,P02,329
M9,P17,329
M5,P11,318
M9,P25,314
M5,P26,313
M1,P26,310
M1,P05,309
M2,P31,306
M7,P17,306
M8,P19,302
M8,P11,293
M2,P26,274
M4,P19,257
M3,P11,255
M1,P17,252
M5,P31,249
M1,P04,246
M6,P31,243
M6,P05,242
M5,P04,239
M7,P11,234
M8,P31,228
M5,P02,224
M4,P31,221
M2,P11,220
M9,P05,220
M7,P05,214
M9,P11,200
M1,P02,195
M3,P31,190
M9,P31,181
M1,P31,178
M3,P19,178
M6,P19,178
M6,P02,165
M3,P25,163
M5,P05,159
M2,P04,150
M5,P19,141
M1,P19,116
M6,P04,106
M7,P25,106
M7,P19,103
M5,P22,69
M1,P22,63
M4,P01,19
M9,P01,18
M2,P01,12
M2,P27,12
M7,P01,10
M9,P27,10
M7,P03,8
M7,P10,7
M8,P01,7
M2,P10,5
M4,P10,5
M6,P10,5
M9,P10,5
M5,P10,4
M3,P03,3
M5,P01,3
M5,P27,3
M6,P01,3
M6,P03,3
M7,P27,3
M8,P27,3
M1,P27,2
M3,P01,2
M4,P27,2
M6,P27,2
M8,P10,2
M1,P10,1
M1,P25,1
M2,P07,1
M2,P08,1
M2,P14,1
M2,P29,1
M3,P10,1
M3,P18,1
M3,P23,1
M3,P27,1
M6,P11,1
M9,P23,1
