module_category,component_category,year_repair,month_repair,number_repair
M1,P02,2006,6,1
M1,P02,2006,7,3
M1,P02,2006,8,2
M1,P02,2006,9,3
M1,P02,2006,10,4
M1,P02,2006,11,11
M1,P02,2006,12,12
M1,P02,2007,1,4
M1,P02,2007,2,15
M1,P02,2007,3,10
M1,P02,2007,4,8
M1,P02,2007,5,12
M1,P02,2007,6,13
M1,P02,2007,7,15
M1,P02,2007,8,9
M1,P02,2007,9,8
M1,P02,2007,10,12
M1,P02,2007,11,6
M1,P02,2007,12,4
M1,P02,2008,1,6
M1,P02,2008,2,7
M1,P02,2008,3,7
M1,P02,2008,4,5
M1,P02,2008,5,1
M1,P02,2008,6,4
M1,P02,2008,7,1
M1,P02,2008,9,3
M1,P02,2008,10,2
M1,P02,2008,11,2
M1,P02,2008,12,1
M1,P02,2009,2,2
M1,P02,2009,4,1
M1,P02,2009,5,1
M1,P04,2006,6,2
M1,P04,2006,7,1
M1,P04,2006,8,1
M1,P04,2006,9,3
M1,P04,2006,10,5
M1,P04,2006,11,5
M1,P04,2006,12,8
M1,P04,2007,1,4
M1,P04,2007,2,5
M1,P04,2007,3,9
M1,P04,2007,4,6
M1,P04,2007,5,5
M1,P04,2007,6,10
M1,P04,2007,7,6
M1,P04,2007,8,9
M1,P04,2007,9,8
M1,P04,2007,10,4
M1,P04,2007,11,7
M1,P04,2007,12,11
M1,P04,2008,1,13
M1,P04,2008,2,8
M1,P04,2008,3,12
M1,P04,2008,4,11
M1,P04,2008,5,5
M1,P04,2008,6,19
M1,P04,2008,7,8
M1,P04,2008,8,7
M1,P04,2008,9,12
M1,P04,2008,10,15
M1,P04,2008,11,8
M1,P04,2008,12,5
M1,P04,2009,1,5
M1,P04,2009,4,3
M1,P04,2009,6,1
M1,P04,2009,7,2
M1,P04,2009,8,1
M1,P04,2009,9,2
M1,P05,2006,4,1
M1,P05,2006,6,2
M1,P05,2006,7,5
M1,P05,2006,8,1
M1,P05,2006,9,3
M1,P05,2006,10,5
M1,P05,2006,11,12
M1,P05,2006,12,11
M1,P05,2007,1,12
M1,P05,2007,2,16
M1,P05,2007,3,23
M1,P05,2007,4,13
M1,P05,2007,5,12
M1,P05,2007,6,15
M1,P05,2007,7,14
M1,P05,2007,8,7
M1,P05,2007,9,17
M1,P05,2007,10,13
M1,P05,2007,11,11
M1,P05,2007,12,8
M1,P05,2008,1,7
M1,P05,2008,2,13
M1,P05,2008,3,15
M1,P05,2008,4,8
M1,P05,2008,5,8
M1,P05,2008,6,5
M1,P05,2008,7,4
M1,P05,2008,8,5
M1,P05,2008,9,12
M1,P05,2008,10,3
M1,P05,2008,11,5
M1,P05,2008,12,8
M1,P05,2009,1,6
M1,P05,2009,2,1
M1,P05,2009,3,3
M1,P05,2009,4,2
M1,P05,2009,5,3
M1,P06,2006,4,3
M1,P06,2006,5,11
M1,P06,2006,6,44
M1,P06,2006,7,64
M1,P06,2006,8,79
M1,P06,2006,9,131
M1,P06,2006,10,182
M1,P06,2006,11,179
M1,P06,2006,12,206
M1,P06,2007,1,248
M1,P06,2007,2,198
M1,P06,2007,3,215
M1,P06,2007,4,207
M1,P06,2007,5,184
M1,P06,2007,6,206
M1,P06,2007,7,271
M1,P06,2007,8,231
M1,P06,2007,9,273
M1,P06,2007,10,216
M1,P06,2007,11,197
M1,P06,2007,12,168
M1,P06,2008,1,179
M1,P06,2008,2,153
M1,P06,2008,3,180
M1,P06,2008,4,162
M1,P06,2008,5,140
M1,P06,2008,6,147
M1,P06,2008,7,122
M1,P06,2008,8,134
M1,P06,2008,9,114
M1,P06,2008,10,113
M1,P06,2008,11,67
M1,P06,2008,12,68
M1,P06,2009,1,39
M1,P06,2009,2,29
M1,P06,2009,3,29
M1,P06,2009,4,10
M1,P06,2009,5,13
M1,P06,2009,6,9
M1,P06,2009,7,7
M1,P06,2009,8,5
M1,P06,2009,9,4
M1,P06,2009,10,3
M1,P06,2009,11,4
M1,P06,2009,12,4
M1,P09,2006,6,1
M1,P09,2006,7,1
M1,P09,2006,8,1
M1,P09,2006,9,1
M1,P09,2006,10,3
M1,P09,2006,11,4
M1,P09,2006,12,10
M1,P09,2007,1,6
M1,P09,2007,2,7
M1,P09,2007,3,7
M1,P09,2007,4,8
M1,P09,2007,5,9
M1,P09,2007,6,6
M1,P09,2007,7,15
M1,P09,2007,8,5
M1,P09,2007,9,12
M1,P09,2007,10,14
M1,P09,2007,11,18
M1,P09,2007,12,8
M1,P09,2008,1,10
M1,P09,2008,2,24
M1,P09,2008,3,22
M1,P09,2008,4,17
M1,P09,2008,5,21
M1,P09,2008,6,18
M1,P09,2008,7,20
M1,P09,2008,8,4
M1,P09,2008,9,20
M1,P09,2008,10,10
M1,P09,2008,11,15
M1,P09,2008,12,7
M1,P09,2009,1,7
M1,P09,2009,2,2
M1,P09,2009,3,6
M1,P09,2009,4,4
M1,P09,2009,6,1
M1,P09,2009,7,3
M1,P09,2009,8,4
M1,P09,2009,9,1
M1,P09,2009,10,3
M1,P10,2006,12,1
M1,P11,2006,5,1
M1,P11,2006,6,1
M1,P11,2006,7,5
M1,P11,2006,8,7
M1,P11,2006,9,5
M1,P11,2006,10,4
M1,P11,2006,11,14
M1,P11,2006,12,14
M1,P11,2007,1,11
M1,P11,2007,2,18
M1,P11,2007,3,16
M1,P11,2007,4,15
M1,P11,2007,5,7
M1,P11,2007,6,8
M1,P11,2007,7,12
M1,P11,2007,8,14
M1,P11,2007,9,14
M1,P11,2007,10,14
M1,P11,2007,11,14
M1,P11,2007,12,8
M1,P11,2008,1,10
M1,P11,2008,2,15
M1,P11,2008,3,16
M1,P11,2008,4,12
M1,P11,2008,5,12
M1,P11,2008,6,8
M1,P11,2008,7,5
M1,P11,2008,8,3
M1,P11,2008,9,7
M1,P11,2008,10,10
M1,P11,2008,11,7
M1,P11,2008,12,1
M1,P11,2009,1,8
M1,P11,2009,2,4
M1,P11,2009,3,4
